================ Training Loss (Fri Jun  5 17:44:54 2020) ================
(epoch: 54, iters: 160, time: 0.736, data: 0.001) D_A: 0.308 G_A: 0.640 cycle_A: 0.670 idt_A: 0.784 D_B: 0.307 G_B: 0.261 cycle_B: 1.993 idt_B: 0.273 
(epoch: 55, iters: 80, time: 0.739, data: 0.001) D_A: 0.152 G_A: 0.375 cycle_A: 1.591 idt_A: 0.427 D_B: 0.154 G_B: 0.242 cycle_B: 0.902 idt_B: 0.673 
(epoch: 55, iters: 180, time: 0.734, data: 0.002) D_A: 0.274 G_A: 0.378 cycle_A: 1.767 idt_A: 0.577 D_B: 0.139 G_B: 0.221 cycle_B: 1.189 idt_B: 0.900 
(epoch: 56, iters: 100, time: 1.265, data: 0.101) D_A: 0.043 G_A: 0.090 cycle_A: 0.813 idt_A: 0.403 D_B: 0.318 G_B: 0.434 cycle_B: 1.157 idt_B: 0.335 
(epoch: 57, iters: 20, time: 0.739, data: 0.002) D_A: 0.137 G_A: 0.784 cycle_A: 1.731 idt_A: 0.907 D_B: 0.289 G_B: 0.267 cycle_B: 1.868 idt_B: 0.764 
(epoch: 57, iters: 120, time: 0.735, data: 0.001) D_A: 0.369 G_A: 0.373 cycle_A: 0.676 idt_A: 0.880 D_B: 0.257 G_B: 0.224 cycle_B: 1.584 idt_B: 0.257 
(epoch: 58, iters: 40, time: 0.742, data: 0.001) D_A: 0.060 G_A: 0.640 cycle_A: 1.046 idt_A: 0.713 D_B: 0.149 G_B: 0.255 cycle_B: 1.902 idt_B: 0.397 
(epoch: 58, iters: 140, time: 1.266, data: 0.002) D_A: 0.172 G_A: 0.137 cycle_A: 2.099 idt_A: 0.996 D_B: 0.201 G_B: 0.315 cycle_B: 1.932 idt_B: 1.076 
(epoch: 59, iters: 60, time: 0.735, data: 0.001) D_A: 0.369 G_A: 1.098 cycle_A: 0.917 idt_A: 0.697 D_B: 0.262 G_B: 0.250 cycle_B: 1.462 idt_B: 0.338 
(epoch: 59, iters: 160, time: 0.736, data: 0.001) D_A: 0.253 G_A: 0.727 cycle_A: 0.743 idt_A: 0.424 D_B: 0.178 G_B: 0.284 cycle_B: 1.078 idt_B: 0.328 
(epoch: 60, iters: 80, time: 0.735, data: 0.001) D_A: 0.071 G_A: 0.503 cycle_A: 1.099 idt_A: 0.939 D_B: 0.195 G_B: 0.767 cycle_B: 1.735 idt_B: 0.513 
